기관명,영문서비스명,시작주소,끝주소,개수(/24),할당일
(주)엘지유플러스,BORANET,61.40.0.0,61.43.255.255,1024,20041115
(주)엘지유플러스,BORANET,59.186.0.0,59.187.255.255,512,20041215
(주)엘지유플러스,BORANET,58.72.0.0,58.75.255.255,1024,20050317
(주)엘지유플러스,BORANET,58.76.0.0,58.76.255.255,256,20050317
(주)엘지유플러스,BORANET,58.149.0.0,58.149.255.255,256,20050527
(주)엘지유플러스,BORANET,58.150.0.0,58.151.255.255,512,20050527
(주)엘지유플러스,BORANET,125.7.192.0,125.7.255.255,64,20050817
(주)엘지유플러스,BORANET,124.194.0.0,124.194.255.255,256,20060405
(주)엘지유플러스,BORANET,121.64.0.0,121.67.255.255,1024,20060609
(주)엘지유플러스,BORANET,123.140.0.0,123.143.255.255,1024,20070223
(주)엘지유플러스,BORANET,203.255.234.0,203.255.234.255,1,20070806
(주)엘지유플러스,BORANET,118.128.0.0,118.131.255.255,1024,20070912
(주)엘지유플러스,BORANET,115.88.0.0,115.95.255.255,2048,20080725
(주)엘지유플러스,BORANET,112.216.0.0,112.223.255.255,2048,20090216
(주)엘지유플러스,BORANET,182.252.0.0,182.252.63.255,64,20100506
(주)엘지유플러스,BORANET,1.208.0.0,1.223.255.255,4096,20100614
(주)엘지유플러스,BORANET,49.236.64.0,49.236.127.255,64,20101130
(주)엘지유플러스,BORANET,106.240.0.0,106.255.255.255,4096,20110329
(주)엘지유플러스,BORANET,103.30.160.0,103.30.163.255,4,20121108
(주)엘지유플러스,BORANET,103.68.148.0,103.68.151.255,4,20160707
(주)KCTV제주방송,CABLENET,122.202.128.0,122.202.255.255,128,20061107
(주)KCTV제주방송,CABLENET,112.133.0.0,112.133.127.255,128,20090203
(주)KCTV제주방송,CABLENET,27.100.128.0,27.100.255.255,128,20100601
(주)KCTV제주방송,CABLENET,103.214.88.0,103.214.91.255,4,20160411
(주)KCTV제주방송,CABLENET,144.48.92.0,144.48.95.255,4,20160411
카페24 주식회사,CAFE24,14.128.128.0,14.128.255.255,128,20100917
씨디네트웍스,CDNETWORKS,116.193.80.0,116.193.87.255,8,20070411
씨디네트웍스,CDNETWORKS,116.193.88.0,116.193.95.255,8,20070604
씨디네트웍스,CDNETWORKS,118.107.160.0,118.107.175.255,16,20070917
씨디네트웍스,CDNETWORKS,119.31.248.0,119.31.255.255,8,20080104
씨디네트웍스,CDNETWORKS,114.111.48.0,114.111.63.255,16,20080527
씨디네트웍스,CDNETWORKS,61.110.192.0,61.110.255.255,64,20090204
씨디네트웍스,CDNETWORKS,211.43.144.0,211.43.159.255,16,20090219
씨디네트웍스,CDNETWORKS,175.41.0.0,175.41.15.255,16,20091214
씨디네트웍스,CDNETWORKS,14.0.32.0,14.0.63.255,32,20100914
씨디네트웍스,CDNETWORKS,14.0.64.0,14.0.127.255,64,20100914
씨디네트웍스,CDNETWORKS,101.79.144.0,101.79.144.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.145.0,101.79.145.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.146.0,101.79.146.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.147.0,101.79.147.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.148.0,101.79.148.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.149.0,101.79.149.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.150.0,101.79.150.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.151.0,101.79.151.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.152.0,101.79.152.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.153.0,101.79.153.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.154.0,101.79.154.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.155.0,101.79.155.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.156.0,101.79.156.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.157.0,101.79.157.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.158.0,101.79.158.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.159.0,101.79.159.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.160.0,101.79.160.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.161.0,101.79.161.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.162.0,101.79.162.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.163.0,101.79.163.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.164.0,101.79.164.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.165.0,101.79.165.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.166.0,101.79.166.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.167.0,101.79.167.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.168.0,101.79.168.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.169.0,101.79.169.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.170.0,101.79.170.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.171.0,101.79.171.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.172.0,101.79.172.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.173.0,101.79.173.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.174.0,101.79.174.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.175.0,101.79.175.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.208.0,101.79.208.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.209.0,101.79.209.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.210.0,101.79.210.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.211.0,101.79.211.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.212.0,101.79.212.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.213.0,101.79.213.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.214.0,101.79.214.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.215.0,101.79.215.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.216.0,101.79.216.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.217.0,101.79.217.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.218.0,101.79.218.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.219.0,101.79.219.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.220.0,101.79.220.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.221.0,101.79.221.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.222.0,101.79.222.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.223.0,101.79.223.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.224.0,101.79.224.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.225.0,101.79.225.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.226.0,101.79.226.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.227.0,101.79.227.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.228.0,101.79.228.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.229.0,101.79.229.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.230.0,101.79.230.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.231.0,101.79.231.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.232.0,101.79.232.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.233.0,101.79.233.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.234.0,101.79.234.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.235.0,101.79.235.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.236.0,101.79.236.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.237.0,101.79.237.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.238.0,101.79.238.255,1,20101222
씨디네트웍스,CDNETWORKS,101.79.239.0,101.79.239.255,1,20101222
씨디네트웍스,CDNETWORKS,103.248.104.0,103.248.107.255,4,20130520
(주)씨엠비대구방송,CMBDONGBU,203.166.208.0,203.166.215.255,8,20061221
(주)씨엠비대구방송,CMBDONGBU,119.235.240.0,119.235.247.255,8,20080311
(주)씨엠비대구방송,CMBDONGBU,49.143.180.0,49.143.183.255,4,20101111
(주)씨엠비대구방송,CMBDONGBU,49.143.184.0,49.143.186.255,3,20101111
(주)씨엠비대구방송,CMBDONGBU,125.62.216.0,125.62.223.255,8,20110112
(주)씨엠비대구방송,CMBDONGBU,103.28.60.0,103.28.63.255,4,20111219
(주)씨엠비대구방송,CMBDONGBU,43.241.108.0,43.241.111.255,4,20140822
(주) 씨엠비,CMBI-NETDJ,211.238.160.0,211.238.175.255,16,20010302
(주) 씨엠비,CMBI-NETDJ,61.251.0.0,61.251.15.255,16,20010712
